'Type', 'Location', 'Price', 'Area', 'Bed Rooms', 'Bath Rooms'
Apartment, Rupnagar R/A, Mirpur, Dhaka, 1 Crore, 4 Beds, 4 Beds, 4 Beds
Apartment, Pallabi, Mirpur, Dhaka, 1.1 Crore, 3 Beds, 3 Beds, 3 Beds
Apartment, Meradia, Khilgaon, Dhaka, 87 Lakh, 3 Beds, 3 Beds, 3 Beds
Apartment, East Rampura, Rampura, Dhaka, 86 Lakh, 3 Beds, 3 Beds, 3 Beds
Apartment, Block J, Bashundhara R-A, Dhaka, 2.2 Crore, 3 Beds, 3 Beds, 3 Beds
Apartment, Block G, Bashundhara R-A, Dhaka, 1.2 Crore, 3 Beds, 3 Beds, 3 Beds
Apartment, PC Culture Housing, Mohammadpur, Dhaka, 1.25 Crore, 3 Beds, 3 Beds, 3 Beds
Apartment, Block D, Bashundhara R-A, Dhaka, 2.4 Crore, 4 Beds, 4 Beds, 4 Beds
Apartment, Sector 13, Uttara, Dhaka, 1.4 Crore, 3 Beds, 3 Beds, 3 Beds
Apartment, Paikpara, Ahmed Nagar, Mirpur, Dhaka, 49 Lakh, 3 Beds, 3 Beds, 3 Beds
Apartment, Block D, Bashundhara R-A, Dhaka, 2.25 Crore, 3 Beds, 3 Beds, 3 Beds
Apartment, PC Culture Housing, Mohammadpur, Dhaka, 2.05 Crore, 5 Beds, 5 Beds, 5 Beds
Apartment, Block D, Bashundhara R-A, Dhaka, 2.4 Crore, 3 Beds, 3 Beds, 3 Beds
Apartment, Rupnagar R/A, Mirpur, Dhaka, 1 Crore, 4 Beds, 4 Beds, 4 Beds
Apartment, Block D, Bashundhara R-A, Dhaka, 2.4 Crore, 3 Beds, 3 Beds, 3 Beds
Apartment, Sector 12, Uttara, Dhaka, 2.8 Crore, 3 Beds, 3 Beds, 3 Beds
Apartment, Sector 10, Uttara, Dhaka, 1.05 Crore, 3 Beds, 3 Beds, 3 Beds
Apartment, Naya Paltan, Motijheel, Dhaka, 1.45 Crore, 3 Beds, 3 Beds, 3 Beds
Apartment, Mirpur, Dhaka, 50 Lakh, 2 Beds, 2 Beds, 2 Beds
Apartment, Narinda, Sutrapur, Dhaka, 80 Lakh, 3 Beds, 3 Beds, 3 Beds
Apartment, Block M, South Banasree Project, Banasree, Dhaka, 1.08 Crore, 3 Beds, 3 Beds, 3 Beds
Apartment, Dhanmondi, Dhaka, 2.89 Crore, 3 Beds, 3 Beds, 3 Beds
Apartment, Section 7, Mirpur, Dhaka, 1.28 Crore, 3 Beds, 3 Beds, 3 Beds
Apartment, Gulshan 2, Gulshan, Dhaka, 8 Crore, 4 Beds, 4 Beds, 4 Beds
